capitulo,titulo_capitulo,articulo,texto
Capítulo I,Principios y Disposiciones Generales,Artículo 1,"1. Chile es un Estado social y democrático de derecho. Es plurinacional, intercultural, regional y ecológico."
Capítulo I,Principios y Disposiciones Generales,Artículo 1,"2. Se constituye como una república solidaria. Su democracia es inclusiva y paritaria. Reconoce como valores intrínsecos e irrenunciables la dignidad, la libertad, la igualdad sustantiva de los seres humanos y su relación indisoluble con la naturaleza."
Capítulo I,Principios y Disposiciones Generales,Artículo 1,"3. La protección y garantía de los derechos humanos individuales y colectivos son el fundamento del Estado y orientan toda su actividad. Es deber del Estado generar las condiciones necesarias y proveer los bienes y servicios para asegurar el igual goce de los derechos y la integración de las personas en la vida política, económica, social y cultural para su pleno desarrollo."
Capítulo I,Principios y Disposiciones Generales,Artículo 2,"1. La soberanía reside en el pueblo de Chile, conformado por diversas naciones. Se ejerce democráticamente, de manera directa y representativa, reconociendo como límite los derechos humanos en cuanto atributo que deriva de la dignidad humana."
Capítulo I,Principios y Disposiciones Generales,Artículo 2,2. Ningún individuo ni sector del pueblo puede atribuirse su ejercicio.
Capítulo I,Principios y Disposiciones Generales,Artículo 3,"Chile, en su diversidad geográfica, natural, histórica y cultural, forma un territorio único e indivisible."
Capítulo I,Principios y Disposiciones Generales,Artículo 4,"Las personas nacen y permanecen libres, interdependientes e iguales en dignidad y derechos."
Capítulo I,Principios y Disposiciones Generales,Artículo 5,1. Chile reconoce la coexistencia de diversos pueblos y naciones en el marco de la unidad del Estado.
Capítulo I,Principios y Disposiciones Generales,Artículo 5,"2. Son pueblos y naciones indígenas preexistentes los Mapuche, Aymara, Rapanui, Lickanantay, Quechua, Colla, Diaguita, Chango, Kawésqar, Yagán, Selk'nam y otros que puedan ser reconocidos en la forma que establezca la ley."
Capítulo I,Principios y Disposiciones Generales,Artículo 5,"3. Es deber del Estado respetar, promover, proteger y garantizar el ejercicio de la libre determinación, los derechos colectivos e individuales de los cuales son titulares y su efectiva participación en el ejercicio y distribución del poder, incorporando su representación política en órganos de elección popular a nivel comunal, regional y nacional, así como en la estructura del Estado, sus órganos e instituciones."
Capítulo I,Principios y Disposiciones Generales,Artículo 6,"1. El Estado promueve una sociedad donde mujeres, hombres, diversidades y disidencias sexuales y de género participen en condiciones de igualdad sustantiva, reconociendo que su representación efectiva es un principio y condición mínima para el ejercicio pleno y sustantivo de la democracia y la ciudadanía."
Capítulo I,Principios y Disposiciones Generales,Artículo 6,"2. Todos los órganos colegiados del Estado, los autónomos constitucionales, los superiores y directivos de la Administración, así como los directorios de las empresas públicas y semipúblicas, deberán tener una composición paritaria que asegure que, al menos, el cincuenta por ciento de sus integrantes sean mujeres."
Capítulo I,Principios y Disposiciones Generales,Artículo 6,3. El Estado promoverá la integración paritaria en sus demás instituciones y en todos los espacios públicos y privados y adoptará medidas para la representación de personas de género diverso a través de los mecanismos que establezca la ley.
Capítulo I,Principios y Disposiciones Generales,Artículo 6,"4. Los poderes y órganos del Estado adoptarán las medidas necesarias para adecuar e impulsar la legislación, las instituciones, los marcos normativos y la prestación de servicios, con el fin de alcanzar la igualdad de género y la paridad. Deberán incorporar transversalmente el enfoque de género en su diseño institucional, de política fiscal y presupuestaria y en el ejercicio de sus funciones."
Capítulo I,Principios y Disposiciones Generales,Artículo 7,"Chile está conformado por entidades territoriales autónomas y territorios especiales, en un marco de equidad y solidaridad, preservando la unidad e integridad del Estado. El Estado promoverá la cooperación, la integración armónica y el desarrollo adecuado y justo entre las diversas entidades territoriales."
Capítulo I,Principios y Disposiciones Generales,Artículo 8,"Las personas y los pueblos son interdependientes con la naturaleza y forman con ella un conjunto inseparable. El Estado reconoce y promueve el buen vivir como una relación de equilibrio armónico entre las personas, la naturaleza y la organización de la sociedad."
Capítulo I,Principios y Disposiciones Generales,Artículo 9,"El Estado es laico. En Chile se respeta y garantiza la libertad de religión y de creencias espirituales. Ninguna religión ni creencia es la oficial, sin perjuicio de su reconocimiento y libre ejercicio, el cual no tiene más limitación que lo dispuesto por esta Constitución y la ley."
Capítulo I,Principios y Disposiciones Generales,Artículo 10,"El Estado reconoce y protege a las familias en sus diversas formas, expresiones y modos de vida, sin restringirlas a vínculos exclusivamente filiativos o consanguíneos, y les garantiza una vida digna."
Capítulo I,Principios y Disposiciones Generales,Artículo 11,"El Estado reconoce y promueve el diálogo intercultural, horizontal y transversal entre las diversas cosmovisiones de los pueblos y naciones que conviven en el país, con dignidad y respeto recíprocos. El ejercicio de las funciones públicas debe garantizar los mecanismos institucionales y la promoción de políticas públicas que favorezcan el reconocimiento y la comprensión de la diversidad étnica y cultural, superando las asimetrías existentes en el acceso, la distribución y el ejercicio del poder, así como en todos los ámbitos de la vida en sociedad."
Capítulo I,Principios y Disposiciones Generales,Artículo 12,"1. El Estado es plurilingüe. Su idioma oficial es el castellano. Los idiomas indígenas son oficiales en sus territorios y en zonas de alta densidad poblacional de cada pueblo y nación indígena. El Estado promueve su conocimiento, revitalización, valoración y respeto."
Capítulo I,Principios y Disposiciones Generales,Artículo 12,"2. Se reconoce la lengua de señas chilena como lengua natural y oficial de las personas sordas, así como sus derechos lingüísticos en todos los ámbitos de la vida social."
Capítulo I,Principios y Disposiciones Generales,Artículo 13,"1. Son emblemas nacionales de Chile la bandera, el escudo y el himno nacional."
Capítulo I,Principios y Disposiciones Generales,Artículo 13,2. El Estado reconoce los símbolos y emblemas de los pueblos y naciones indígenas.
