constitucion;capitulo;titulo_capitulo;nro_articulo;texto;texto_clean;Topic 0;Topic 1;Topic 2;Topic 3;Topic 4;Topic 5;Topic 6;max_topic
Vigente;Capítulo I;BASES DE LA INSTITUCIONALIDAD;Artículo 1°;las personas nacen libres e iguales en dignidad y derechos;personas nacen libres iguales dignidad derechos;0.020417577437537703;0.020418191940270995;0.18080475097796342;0.7171253254290232;0.020411099355172085;0.020410992124083795;0.02041206273594877;3
Vigente;Capítulo I;BASES DE LA INSTITUCIONALIDAD;Artículo 1°;la familia es el nucleo fundamental de la sociedad;familia nucleo fundamental sociedad;0.028585328607186884;0.028573695416810374;0.028587599682565384;0.028707530943656436;0.8283563260161012;0.02860071647351365;0.028588802860165904;4
Vigente;Capítulo I;BASES DE LA INSTITUCIONALIDAD;Artículo 1°;el estado reconoce y ampara a los grupos intermedios a traves de los cuales se organiza y estructura la sociedad y les garantiza la adecuada autonomia para cumplir sus propios fines especificos;reconoce ampara grupos intermedios traves cuales organiza estructura sociedad garantiza adecuada autonomia cumplir propios fines especificos;0.008466228384547626;0.12462231921394232;0.008403924307662491;0.5916623118766632;0.00844417293115867;0.24998907374001306;0.008411969546012638;3
Vigente;Capítulo I;BASES DE LA INSTITUCIONALIDAD;Artículo 1°;el estado esta al servicio de la persona humana y su finalidad es promover el bien comun para lo cual debe contribuir a crear las condiciones sociales que permitan a todos y a cada uno de los integrantes de la comunidad nacional su mayor realizacion espiritual y material posible con pleno respeto a los derechos y garantias que esta constitucion establece;servicio persona humana finalidad promover bien comun debe contribuir crear condiciones sociales permitan cada integrantes comunidad nacional mayor realizacion espiritual material posible pleno respeto derechos garantias constitucion establece;0.004946288578802876;0.004942850545327869;0.0049370482223264935;0.9703543332799128;0.004940153009204144;0.004933570817545067;0.0049457555468808536;3
Vigente;Capítulo I;BASES DE LA INSTITUCIONALIDAD;Artículo 1°;es deber del estado resguardar la seguridad nacional dar proteccion a la poblacion y a la familia propender al fortalecimiento de esta promover la integracion armonica de todos los sectores de la nacion y asegurar el derecho de las personas a participar con igualdad de oportunidades en la vida nacional;resguardar seguridad nacional dar proteccion poblacion familia propender fortalecimiento promover integracion armonica sectores nacion asegurar derecho personas participar igualdad oportunidades vida nacional;0.006233140327750918;0.006240832454668793;0.006213372584881695;0.7061238325922559;0.26275341482945086;0.0062203106478400366;0.006215096563151818;3
Vigente;Capítulo I;BASES DE LA INSTITUCIONALIDAD;Artículo 2º;son emblemas nacionales la bandera nacional el escudo de armas de la republica y el himno nacional;emblemas nacionales bandera nacional escudo armas republica himno nacional;0.9142471506240946;0.014292989872702328;0.01428672570394074;0.01429085925110756;0.014298025758531578;0.014287864948933424;0.014296383840689987;0
Vigente;Capítulo I;BASES DE LA INSTITUCIONALIDAD;Artículo 3º;el estado de chile es unitario;chile unitario;0.047720297543805495;0.04761935102056275;0.04761936352880148;0.3810161592450937;0.380786353231876;0.047619285619906165;0.047619189809954506;3
Vigente;Capítulo I;BASES DE LA INSTITUCIONALIDAD;Artículo 3º;la administracion del estado sera funcional y territorialmente descentralizada o desconcentrada en su caso de conformidad a la ley;administracion sera funcional territorialmente descentralizada desconcentrada caso conformidad ley;0.014306630243177196;0.014330009550553024;0.014339683504639291;0.014325440983357553;0.014317135142848542;0.9140434320393663;0.014337668536058059;5
Vigente;Capítulo I;BASES DE LA INSTITUCIONALIDAD;Artículo 3º;los organos del estado promoveran el fortalecimiento de la regionalizacion del pais y el desarrollo equitativo y solidario entre las regiones provincias y comunas del territorio nacional;organos promoveran fortalecimiento regionalizacion pais desarrollo equitativo solidario regiones provincias comunas territorio nacional;0.010255790684057813;0.010216904483058373;0.010205565662015095;0.010228003718939827;0.9386610672503403;0.010212097546550699;0.010220570655037937;4
Vigente;Capítulo I;BASES DE LA INSTITUCIONALIDAD;Artículo 4°;chile es una republica democratica;chile republica democratica;0.3213527452790413;0.03575396296972471;0.03575422386051646;0.49965911404156205;0.035854612447965444;0.03572952792286232;0.0358958134783279;3
Vigente;Capítulo I;BASES DE LA INSTITUCIONALIDAD;Artículo 5º;la soberania reside esencialmente en la nacion su ejercicio se realiza por el pueblo a traves del plebiscito y de elecciones periodicas y tambien por las autoridades que esta constitucion establece ningun sector del pueblo ni individuo alguno puede atribuirse su ejercicio;soberania reside esencialmente nacion ejercicio realiza pueblo traves plebiscito elecciones periodicas tambien autoridades constitucion establece ningun sector pueblo individuo alguno puede atribuirse ejercicio;0.005987018221170665;0.005967306557745635;0.005972665905315552;0.0059747656201543445;0.797354283216895;0.005965360193181819;0.17277860028553688;4
Vigente;Capítulo I;BASES DE LA INSTITUCIONALIDAD;Artículo 5º;el ejercicio de la soberania reconoce como limitacion el respeto a los derechos esenciales que emanan de la naturaleza humana es deber de los organos del estado respetar y promover tales derechos garantizados por esta constitucion asi como por los tratados internacionales ratificados por chile y que se encuentren vigentes;ejercicio soberania reconoce limitacion respeto derechos esenciales emanan naturaleza humana organos respetar promover tales derechos garantizados constitucion asi tratados internacionales ratificados chile encuentren vigentes;0.005728001418262222;0.23342426714090772;0.005717078678919527;0.737966151152867;0.005728001331285083;0.0057198041931011715;0.0057166960846572685;3
Vigente;Capítulo I;BASES DE LA INSTITUCIONALIDAD;Artículo 6º;los organos del estado deben someter su accion a la constitucion y a las normas dictadas conforme a ella y garantizar el orden institucional de la republica;organos deben someter accion constitucion normas dictadas conforme garantizar orden institucional republica;0.17954462055716217;0.011042028568948732;0.011029277847865167;0.765277067921266;0.011054766954944464;0.011012682019770258;0.011039556130043034;3
Vigente;Capítulo I;BASES DE LA INSTITUCIONALIDAD;Artículo 6º;los preceptos de esta constitucion obligan tanto a los titulares o integrantes de dichos organos como a toda persona institucion o grupo;preceptos constitucion obligan titulares integrantes dichos organos toda persona institucion grupo;0.011924970203855578;0.9284895515506266;0.011913028065963685;0.011932051668668543;0.011914093965000582;0.011908935218325112;0.011917369327559994;1
Vigente;Capítulo I;BASES DE LA INSTITUCIONALIDAD;Artículo 6º;la infraccion de esta norma generara las responsabilidades y sanciones que determine la ley;infraccion norma generara responsabilidades sanciones determine ley;0.017903186270053894;0.7413078984343645;0.16920911432962737;0.017902341279892098;0.017871839227028934;0.017913833965327995;0.017891786493705295;1
Vigente;Capítulo I;BASES DE LA INSTITUCIONALIDAD;Artículo 7º;los organos del estado actuan validamente previa investidura regular de sus integrantes dentro de su competencia y en la forma que prescriba la ley;organos actuan validamente previa investidura regular integrantes dentro competencia forma prescriba ley;0.011034905934847659;0.1328277816851654;0.22444237813006504;0.011040758451621065;0.011036117660418029;0.1881673120752002;0.42145074606268257;6
Vigente;Capítulo I;BASES DE LA INSTITUCIONALIDAD;Artículo 7º;ninguna magistratura ninguna persona ni grupo de personas pueden atribuirse ni aun a pretexto de circunstancias extraordinarias otra autoridad o derechos que los que expresamente se les hayan conferido en virtud de la constitucion o las leyes;ninguna magistratura ninguna persona grupo personas pueden atribuirse aun pretexto circunstancias extraordinarias autoridad derechos expresamente conferido virtud constitucion leyes;0.007158853454981815;0.007174361149780785;0.9570372593165084;0.007183002520681523;0.0071520782535656234;0.00714909878250625;0.007145346521975435;2
Vigente;Capítulo I;BASES DE LA INSTITUCIONALIDAD;Artículo 7º;todo acto en contravencion a este articulo es nulo y originara las responsabilidades y sanciones que la ley senale;acto contravencion articulo nulo originara responsabilidades sanciones ley senale;0.01431109390197761;0.014428823717871526;0.45980942708721995;0.014382469035737873;0.014291304149335974;0.014318860272789903;0.4684580218350671;6
Vigente;Capítulo I;BASES DE LA INSTITUCIONALIDAD;Artículo 8º;el ejercicio de las funciones publicas obliga a sus titulares a dar estricto cumplimiento al principio de probidad en todas sus actuaciones;ejercicio funciones publicas obliga titulares dar estricto cumplimiento principio probidad todas actuaciones;0.14547773974207445;0.011008946026480651;0.010993403436411631;0.7994869476445594;0.011003084150153471;0.010997299556137253;0.01103257944418302;3
Vigente;Capítulo I;BASES DE LA INSTITUCIONALIDAD;Artículo 8º;son publicos los actos y resoluciones de los organos del estado asi como sus fundamentos y los procedimientos que utilicen sin embargo solo una ley de quorum calificado podra establecer la reserva o secreto de aquellos o de estos cuando la publicidad afectare el debido cumplimiento de las funciones de dichos organos los derechos de las personas la seguridad de la nacion o el interes nacional;publicos actos resoluciones organos asi fundamentos procedimientos utilicen embargo solo ley quorum calificado podra establecer reserva secreto aquellos publicidad afectare debido cumplimiento funciones dichos organos derechos personas seguridad nacion interes nacional;0.6682038212829775;0.3093950184376425;0.004473247659064644;0.004488817737388588;0.004485940849737989;0.004483493177094367;0.004469660856094418;0
Vigente;Capítulo I;BASES DE LA INSTITUCIONALIDAD;Artículo 8º;el presidente de la republica los ministros de estado los diputados y senadores y las demas autoridades y funcionarios que una ley organica constitucional senale deberan declarar sus intereses y patrimonio en forma publica;presidente republica ministros diputados senadores demas autoridades funcionarios ley organica constitucional senale deberan declarar intereses patrimonio forma publica;0.40868916583763626;0.0075385180132516326;0.0075356621218867536;0.19581408867166356;0.00753471893288543;0.00756833302112665;0.3653195134015498;0
Vigente;Capítulo I;BASES DE LA INSTITUCIONALIDAD;Artículo 8º;dicha ley determinara los casos y las condiciones en que esas autoridades delegaran a terceros la administracion de aquellos bienes y obligaciones que supongan conflicto de interes en el ejercicio de su funcion publica asimismo podra considerar otras medidas apropiadas para resolverlos y en situaciones calificadas disponer la enajenacion de todo o parte de esos bienes;dicha ley determinara casos condiciones autoridades delegaran terceros administracion aquellos bienes obligaciones supongan conflicto interes ejercicio funcion publica asimismo podra considerar medidas apropiadas resolverlos situaciones calificadas disponer enajenacion parte bienes;0.004622536902190921;0.23620182640734;0.004625164250834974;0.7406891926624241;0.004617694739832221;0.004624342423595739;0.0046192426137821605;3
Vigente;Capítulo I;BASES DE LA INSTITUCIONALIDAD;Artículo 9º;el terrorismo en cualquiera de sus formas es por esencia contrario a los derechos humanos;terrorismo cualquiera formas esencia contrario derechos humanos;0.017869363978815358;0.01789752369151028;0.01788243635020298;0.3416621450192197;0.01789221119868003;0.568897419176973;0.017898900584598653;5
Vigente;Capítulo I;BASES DE LA INSTITUCIONALIDAD;Artículo 9º;una ley de quorum calificado determinara las conductas terroristas y su penalidad los responsables de estos delitos quedaran inhabilitados por el plazo de quince anos para ejercer funciones o cargos publicos sean o no de eleccion popular o de rector o director de establecimiento de educacion o para ejercer en ellos funciones de ensenanza para explotar un medio de comunicacion social o ser director o administrador del mismo o para desempenar en el funciones relacionadas con la emision o difusion de opiniones o informaciones ni podra ser dirigentes de organizaciones politicas o relacionadas con la educacion o de caracter vecinal profesional empresarial sindical estudiantil o gremial en general durante dicho plazo lo anterior se entiende sin perjuicio de otras inhabilidades o de las que por mayor tiempo establezca la ley;ley quorum calificado determinara conductas terroristas penalidad responsables delitos quedaran inhabilitados plazo quince anos ejercer funciones cargos publicos eleccion popular rector director establecimiento educacion ejercer funciones ensenanza explotar medio comunicacion social director administrador mismo desempenar funciones relacionadas emision difusion opiniones informaciones podra dirigentes organizaciones politicas relacionadas educacion caracter vecinal profesional empresarial sindical estudiantil gremial general dicho plazo anterior entiende perjuicio inhabilidades mayor tiempo establezca ley;0.30072070904041326;0.002171175431483666;0.0021738646802239767;0.5810779155449844;0.0021707216652225927;0.002171536595834922;0.10951407704183719;3
Vigente;Capítulo I;BASES DE LA INSTITUCIONALIDAD;Artículo 9º;los delitos a que se refiere el inciso anterior seran considerados siempre comunes y no politicos para todos los efectos legales y no procedera respecto de ellos el indulto particular salvo para conmutar la pena de muerte por la de presidio perpetuo;delitos refiere inciso anterior seran considerados siempre comunes politicos efectos legales procedera respecto indulto particular salvo conmutar pena muerte presidio perpetuo;0.006522817223370361;0.006504074107342417;0.5027760253779968;0.006503195902922838;0.46467356080069694;0.00650564879324154;0.006514677794429133;2
Vigente;Capítulo II;NACIONALIDAD Y CIUDADANIA;Artículo 10;son chilenos;chilenos;0.571428403495391;0.07142860663296696;0.07142860840316481;0.07142858990142868;0.07142860442918027;0.07142859906722143;0.07142858807064682;0
